timestamp,batch_guid,database,model,total_requests,mean_latency_ms,test_duration_config,energy_j,mean_power_w,mean_cpu_percent,mean_memory_gb
20251021-151844,74488C6B-DACE-4E6A-87C3-1B9E664ABAE4,UNSW_NB15_merged,lgbm,14813,343.678768,61.23,2670.044922,43.603658,94.365888,20.615216
20251021-151951,74488C6B-DACE-4E6A-87C3-1B9E664ABAE4,UNSW_NB15_merged,lgbm,14554,350.620896,61.45,2677.766724,43.578315,94.149456,20.6167
20251021-152058,74488C6B-DACE-4E6A-87C3-1B9E664ABAE4,UNSW_NB15_merged,lgbm,14514,351.504602,61.25,2679.939209,43.750619,94.699332,20.616657
20251021-152205,74488C6B-DACE-4E6A-87C3-1B9E664ABAE4,UNSW_NB15_merged,lgbm,14984,338.135307,61.24,2665.920288,43.5324,93.99994,20.620513
20251021-152312,74488C6B-DACE-4E6A-87C3-1B9E664ABAE4,UNSW_NB15_merged,lgbm,14579,349.149912,61.24,2667.187683,43.550163,94.341603,20.62095
20251021-152419,74488C6B-DACE-4E6A-87C3-1B9E664ABAE4,UNSW_NB15_merged,lgbm,14590,349.259943,61.43,2663.969849,43.369244,93.893914,20.621416
20251021-152526,74488C6B-DACE-4E6A-87C3-1B9E664ABAE4,UNSW_NB15_merged,lgbm,14612,348.085465,61.47,2666.148987,43.374575,94.445856,20.62085
20251021-152633,74488C6B-DACE-4E6A-87C3-1B9E664ABAE4,UNSW_NB15_merged,lgbm,14038,365.55701,61.24,2672.367493,43.635056,94.17138,20.624383
20251021-152834,43B2BFBD-2FD7-41A4-8834-511D8C1CFEBB,UNSW_NB15_merged,lgbm,15000,340.322169,62.07,2714.8125,43.740323,93.969219,20.621973
20251021-152942,43B2BFBD-2FD7-41A4-8834-511D8C1CFEBB,UNSW_NB15_merged,lgbm,15000,312.580246,66.25,2677.715576,40.419532,82.538398,20.619412
20251021-153054,43B2BFBD-2FD7-41A4-8834-511D8C1CFEBB,UNSW_NB15_merged,lgbm,15000,343.81465,62.45,2710.494629,43.405984,94.226495,20.620568
20251021-153202,43B2BFBD-2FD7-41A4-8834-511D8C1CFEBB,UNSW_NB15_merged,lgbm,15000,348.342665,66.24,2788.642761,42.098306,89.888666,20.626286
20251021-153314,43B2BFBD-2FD7-41A4-8834-511D8C1CFEBB,UNSW_NB15_merged,lgbm,15000,355.75661,64.43,2781.465698,43.172823,93.904886,20.622724
20251021-153424,43B2BFBD-2FD7-41A4-8834-511D8C1CFEBB,UNSW_NB15_merged,lgbm,15000,339.437036,61.84,2684.141907,43.406924,93.914609,20.628947
20251021-153532,43B2BFBD-2FD7-41A4-8834-511D8C1CFEBB,UNSW_NB15_merged,lgbm,15000,349.810725,63.43,2757.452393,43.470866,94.313042,20.622149
20251021-153641,43B2BFBD-2FD7-41A4-8834-511D8C1CFEBB,UNSW_NB15_merged,lgbm,15000,348.914195,63.05,2745.029846,43.536622,94.575782,20.627617
20251021-153750,43B2BFBD-2FD7-41A4-8834-511D8C1CFEBB,UNSW_NB15_merged,lgbm,15000,351.135687,66.24,2796.031433,42.208195,89.91874,20.628395
20251021-153902,43B2BFBD-2FD7-41A4-8834-511D8C1CFEBB,UNSW_NB15_merged,lgbm,15000,338.223761,61.43,2676.017578,43.563643,94.047207,20.630341
20251021-154009,43B2BFBD-2FD7-41A4-8834-511D8C1CFEBB,UNSW_NB15_merged,lgbm,15000,338.981587,61.64,2683.859985,43.540603,93.942141,20.632327
20251021-154116,43B2BFBD-2FD7-41A4-8834-511D8C1CFEBB,UNSW_NB15_merged,lgbm,15000,339.49193,61.67,2691.826233,43.651517,94.26716,20.630787
20251021-154224,43B2BFBD-2FD7-41A4-8834-511D8C1CFEBB,UNSW_NB15_merged,lgbm,15000,358.053196,64.84,2817.407715,43.455013,94.121026,20.630332
20251021-154334,43B2BFBD-2FD7-41A4-8834-511D8C1CFEBB,UNSW_NB15_merged,lgbm,15000,351.140136,63.64,2770.21814,43.530798,93.92842,20.631674
20251021-154444,43B2BFBD-2FD7-41A4-8834-511D8C1CFEBB,UNSW_NB15_merged,lgbm,15000,348.490316,63.05,2752.105286,43.651415,94.152353,20.633775
20251021-154552,43B2BFBD-2FD7-41A4-8834-511D8C1CFEBB,UNSW_NB15_merged,lgbm,15000,347.372816,63.04,2744.97113,43.542941,93.917678,20.633255
20251021-154701,43B2BFBD-2FD7-41A4-8834-511D8C1CFEBB,UNSW_NB15_merged,lgbm,15000,347.69768,63.03,2746.020874,43.566244,94.053405,20.634731
20251021-154810,43B2BFBD-2FD7-41A4-8834-511D8C1CFEBB,UNSW_NB15_merged,lgbm,15000,353.341393,64.04,2795.723572,43.65685,94.036577,20.629988
20251021-154920,43B2BFBD-2FD7-41A4-8834-511D8C1CFEBB,UNSW_NB15_merged,lgbm,15000,344.793695,62.63,2739.278381,43.74036,93.880594,20.626887
20251021-155028,43B2BFBD-2FD7-41A4-8834-511D8C1CFEBB,UNSW_NB15_merged,lgbm,15000,346.292143,62.84,2756.843811,43.867814,94.036396,20.629543
20251021-155608,65573592-3C27-4D22-B3C8-563327B2C625,UNSW_NB15_merged,lgbm,15000,335.769744,61.29,2723.325378,44.430093,93.78627,20.639946
20251021-155715,65573592-3C27-4D22-B3C8-563327B2C625,UNSW_NB15_merged,lgbm,14704,346.511133,61.23,2737.963684,44.716308,94.681259,20.638959
20251021-155822,65573592-3C27-4D22-B3C8-563327B2C625,UNSW_NB15_merged,lgbm,14753,337.59685,60.23,2713.17218,45.04759,95.789085,20.641787
20251021-155928,65573592-3C27-4D22-B3C8-563327B2C625,UNSW_NB15_merged,lgbm,14854,342.423988,61.43,2746.950256,44.71313,94.490764,20.638047
20251021-160035,65573592-3C27-4D22-B3C8-563327B2C625,UNSW_NB15_merged,lgbm,14985,339.069725,61.44,2734.875366,44.513557,94.212348,20.640893
20251021-160142,65573592-3C27-4D22-B3C8-563327B2C625,UNSW_NB15_merged,lgbm,15000,337.218097,61.25,2722.904968,44.458797,94.018296,20.644164
20251021-160249,65573592-3C27-4D22-B3C8-563327B2C625,UNSW_NB15_merged,lgbm,15000,337.689128,61.11,2718.789429,44.489171,94.388387,20.644651
20251021-161511,F69039DD-B744-4EBA-B8AE-1A58DA1EEDDC,credit_card_transactions,xgboost,15000,316.041449,58.62,2558.695557,43.646437,93.158403,20.651662
20251021-161615,F69039DD-B744-4EBA-B8AE-1A58DA1EEDDC,credit_card_transactions,xgboost,15000,320.329181,61.23,2618.395325,42.765168,89.870452,20.650526
20251021-161722,F69039DD-B744-4EBA-B8AE-1A58DA1EEDDC,credit_card_transactions,xgboost,15000,327.033681,61.27,2658.699829,43.393555,91.232343,20.648153
20251021-161829,F69039DD-B744-4EBA-B8AE-1A58DA1EEDDC,credit_card_transactions,xgboost,15000,326.458965,59.84,2628.993286,43.930412,93.449254,20.653732
